document_id,report_month,source_type,template_version,processed_at,confidence,average_daily_census,median_length_of_stay_days,pct_18_21,pct_55_plus,median_age,homeless_pct,medicaid_pct,mental_health_history_pct,substance_use_history_pct,chronic_medical_history_pct
2024-08,2024-08,patient_profile,pp_v1,2026-07-06T02:02:59.415923+00:00,0.9199999999999999,6526,126,8.0,9.0,34,25.0,84.0,55.0,28.0,28.0
2024-09,2024-09,patient_profile,pp_v1,2026-07-06T02:03:24.276393+00:00,0.9199999999999999,6594,127,8.0,9.0,34,26.0,84.0,56.0,28.0,28.0
2024-10,2024-10,patient_profile,pp_v1,2026-07-06T02:03:44.820543+00:00,0.9199999999999999,6658,128,8.0,9.0,34,26.0,84.0,56.0,28.0,28.0
2024-11,2024-11,patient_profile,pp_v1,2026-07-06T02:04:17.107241+00:00,0.9199999999999999,6707,131,8.0,9.0,34,25.0,84.0,57.0,28.0,27.0
2024-12,2024-12,patient_profile,pp_v1,2026-07-06T02:04:36.624807+00:00,0.9199999999999999,6678,135,7.0,9.0,34,26.0,84.0,57.0,28.0,27.0
2025-01,2025-01,patient_profile,pp_v1,2026-07-06T02:04:59.221030+00:00,0.9199999999999999,6694,140,7.0,9.0,34,25.0,85.0,61.0,28.0,27.0
2025-02,2025-02,patient_profile,pp_v1,2026-07-06T02:05:30.829187+00:00,0.9199999999999999,6846,138,7.0,9.0,35,26.0,85.0,57.0,28.0,28.0
2025-03,2025-03,patient_profile,pp_v1,2026-07-06T02:05:54.083653+00:00,0.9199999999999999,7065,142,7.0,9.0,35,26.0,76.0,57.0,28.0,28.0
2025-04,2025-04,patient_profile,pp_v1,2026-07-06T02:06:29.206042+00:00,0.9199999999999999,7352,146,8.0,9.0,35,26.0,86.0,56.0,29.0,28.0
2025-05,2025-05,patient_profile,pp_v1,2026-07-06T02:06:51.557132+00:00,0.9199999999999999,7594,151,8.0,9.0,35,26.0,85.0,57.0,29.0,28.0
2025-06,2025-06,patient_profile,pp_v1,2026-07-06T02:07:23.508913+00:00,0.9199999999999999,7686,151,8.0,9.0,35,26.0,85.0,57.0,29.0,28.0
2025-07,2025-07,patient_profile,pp_v1,2026-07-06T02:07:50.062022+00:00,0.95,7732,153,8.0,9.0,35,27.0,85.0,57.0,29.0,28.0
2025-08,2025-08,patient_profile,pp_v1,2026-07-06T02:08:08.469165+00:00,0.9199999999999999,7395,149,8.0,9.0,35,28.0,85.0,58.0,30.0,28.0
2025-09,2025-09,patient_profile,pp_v1,2026-07-06T02:08:42.375960+00:00,0.9199999999999999,7252,146,8.0,10.0,35,28.0,84.0,59.0,30.0,28.0
2025-10,2025-10,patient_profile,pp_v1,2026-07-06T02:09:02.373554+00:00,0.9199999999999999,7141,142,8.0,10.0,35,28.0,84.0,59.0,30.0,28.0
2025-11,2025-11,patient_profile,pp_v1,2026-07-06T02:09:21.714919+00:00,0.95,7085,143,8.0,10.0,35,28.0,83.0,59.0,31.0,28.0
2025-12,2025-12,patient_profile,pp_v1,2026-07-06T02:10:03.904722+00:00,0.9400000000000001,6948,150,8.0,10.0,35,28.0,83.0,60.0,30.0,28.0
2026-01,2026-01,patient_profile,pp_v1,2026-07-06T02:10:27.158845+00:00,0.9199999999999999,6883,156,8.0,10.0,35,28.0,85.0,60.0,30.0,28.0
2026-02,2026-02,patient_profile,pp_v1,2026-07-06T02:10:47.497501+00:00,0.9199999999999999,6868,158,8.0,10.0,35,28.0,85.0,60.0,31.0,29.0
2026-03,2026-03,patient_profile,pp_v1,2026-07-06T02:11:06.480012+00:00,0.9199999999999999,6802,158,8.0,10.0,35,28.0,85.0,59.0,31.0,28.0
2026-04,2026-04,patient_profile,pp_v1,2026-07-06T02:11:37.205763+00:00,0.9199999999999999,6747,156,8.0,10.0,35,29.0,85.0,59.0,31.0,28.0
2026-05,2026-05,patient_profile,pp_v1,2026-07-06T02:06:03.462483+00:00,1.0,6744,151,8.0,10.0,35,29.0,85.0,60.0,31.0,28.0
,,,,,,,,,,,,,,,,,,,
